review_id,product_id,user_id,rating,title,review_text
214,103,U214,5.0,Best for hairfall dry and frizzy hair,conditioner work dry type frizz free detangles strand smoothen texture genuinely conditioner
215,103,U215,5.0,Silky hair,frizz free fragrant day
216,103,U216,5.0,Good results,shampooing aloe bamboo shampoo mins length washing feel frizz free stop touching
217,103,U217,5.0,Nourishing Hair Conditioner,conditioner worked dry dull moisturize put life back shiny strong texture improve frizziness reduce worth gentle conditioner pleasant fragrance
218,103,U218,5.0,Best Conditioner,herbal essence shampoo potent aloe eucalyptus conditioner strengthen roots leaves shining effect sulphate parabens free richness aloe bamboo totally natural conditioner shampoo totally worth
219,103,U219,5.0,Best hair conditioner,wow herbal essence aloe vera bamboo conditioner nourishing strength root
220,104,U220,4.0,Soft shampoo,shampoo conditioner combo soft not give finish added strength main property fall considerably washes type dry worked
221,104,U221,4.0,Nice combo for hairs,work straight hairs shampoo cleanses causing loss conditioner weighing hope not artificial fragrance awesome
222,104,U222,4.0,Amazing Hair Kit,impressed shampoo conditioner herbal essence shiny deal price
223,104,U223,4.0,Amazing Shampoo,shampoo feel soft hydrate conditioner not fragrance feel job
224,104,U224,1.0,Pls avoid if your home water is hard water!!,read review thought give variant brand brand sls paraben free none showed improvement pink discontinue add shine coming absolutely nothing infact lot oily home water not nothing sheer waste money rs clinic work
225,104,U225,5.0,Good,shampoo
226,104,U226,5.0,Loved the combo,calming cleanser
227,104,U227,5.0,Bestest,bestest
228,104,U228,5.0,"""Smooth hair """,soft
229,104,U229,5.0,Very Nice Product,recommend nourishing work tresses excellent result work highly recommended
230,104,U230,5.0,Superb,realy superb quality
231,104,U231,5.0,Love bamboo shampoo,amd combo shampoo repair density scalp cleanse scalp squeaky clean not super dry follow variety conditioner give strong
232,104,U232,5.0,Nice shampoo,shampoo soft
233,104,U233,5.0,Very much suitable for dry and frizzy hair,summer tames frizziness not dry shiny finish
234,104,U234,4.0,Nice Shampoo,reduces frizziness extent extremely mild shampoo not remove oil scalp daily
235,104,U235,5.0,Amazing,salon home bamboo kit shampoo conditioner strong shiny strand growth shampoo bamboo shampoo conditioner
